[2026-04-15T08:28:50.467Z] GET https://d3to2j74noptt3.cloudfront.net/translations/translation-en.json → pending (?ms, ?B)
[2026-04-15T08:28:50.467Z] GET https://d3to2j74noptt3.cloudfront.net/translations/translation.json → pending (?ms, ?B)
[2026-04-15T08:28:50.467Z] POST https://cognito-identity.us-east-1.amazonaws.com/ → pending (?ms, ?B)
[2026-04-15T08:28:50.490Z] GET https://fls-na.amazon.com/1/batch/1/OP/A381WA5GOSXMH7:131-0412917-9196463:9YS3424KFYRK88EVG9SP$uedata=s:undefined%3Fld%26v%3D0.343434.0%26id%3D9YS3424KFYRK88EVG9SP%26sw%3D1440%26sh%3D900%26vw%3D1440%26vh%3D900%26m%3D1%26sc%3D9YS3424KFYRK88EVG9SP%26ue%3D7%26x1%3D123%26x2%3D870%26bb%3D1703%26be%3D1711%26fp%3D1762%26fcp%3D1762%26pc%3D2897%26tc%3D-882%26na_%3D-882%26ul_%3D-1776241727589%26_ul%3D-1776241727589%26rd_%3D-1776241727589%26_rd%3D-1776241727589%26fe_%3D-882%26lk_%3D-876%26_lk%3D-861%26co_%3D-860%26_co%3D-588%26sc_%3D-738%26rq_%3D-588%26rs_%3D-13%26_rs%3D243%26dl_%3D-5%26di_%3D1749%26de_%3D2881%26_de%3D2883%26_dc%3D2897%26ld_%3D2897%26_ld%3D-1776241727589%26ntd%3D1%26ty%3D0%26rc%3D0%26hob%3D1%26hoe%3D7%26ld%3D2898%26t%3D1776241730487%26ctb%3D1%26rt%3D__ld%3A28-6-1-12-7-0-0%26csmtags%3Daui%7Caui%3Aaui_build_date%3A3.26.3-2026-04-08%7Caui%3Ajs%3Anetwork%7Cfls-na-amazon-com%7Ccf_cdn_fr%7Ccf_cdn_mp%7Caui%3Asw%3Apage_proxy%3Ano_ctrl%7Cadblk_no%26viz%3Dvisible%3A7%26pty%3DA20mMain%26spty%3DGET_RESOLVED_HTML_MANTL%26pti%3Dundefined%26tid%3D9YS3424KFYRK88EVG9SP%26aftb%3D1%26lob%3D0:2898 → pending (?ms, ?B)
[2026-04-15T08:28:50.490Z] GET https://fls-na.amazon.com/1/batch/1/OP/A381WA5GOSXMH7:131-0412917-9196463:9YS3424KFYRK88EVG9SP$uedata=s:undefined%3Fld%26v%3D0.343434.0%26id%3D9YS3424KFYRK88EVG9SP%26sc0%3Daui%3Asw%3Appft%3Acallback_ricb%26bb0%3D872%26pc0%3D1749%26ld0%3D1749%26t0%3D1776241729338%26sc1%3DcsmCELLSframework%26bb1%3D1714%26pc1%3D1714%26ld1%3D1714%26t1%3D1776241729303%26sc2%3DcsmCELLSpdm%26bb2%3D1714%26pc2%3D1730%26ld2%3D1730%26t2%3D1776241729319%26sc3%3DcsmCELLSvpm%26bb3%3D1730%26pc3%3D1730%26ld3%3D1730%26t3%3D1776241729319%26sc4%3DcsmCELLSfem%26bb4%3D1730%26pc4%3D1730%26ld4%3D1730%26t4%3D1776241729319%26ctb%3D1:2898 → pending (?ms, ?B)
[2026-04-15T08:28:50.491Z] POST https://unagi.amazon.com/1/events/com.amazon.csm.csa.prod → pending (?ms, ?B)
[2026-04-15T08:28:50.491Z] POST https://unagi.amazon.com/1/events/com.amazon.csm.customsg.prod → pending (?ms, ?B)
[2026-04-15T08:28:50.491Z] GET https://images-na.ssl-images-amazon.com/images/I/215h87l68bL.js → pending (?ms, ?B)
[2026-04-15T08:28:50.491Z] POST https://wzntcf9lw2.execute-api.us-east-1.amazonaws.com/prod/behavior-data → pending (?ms, ?B)
[2026-04-15T08:28:50.495Z] GET https://advertising.amazon.com/a20m-api/v1/metadata?path=/index → pending (?ms, ?B)
